time,T_Nor,T_Sou,T_Eas,T_Wes,T_Cor,T_out,Q_sol
18234000.0,299.27040739116165,299.60790248548335,299.43987778497166,299.81674568305,299.15657911332266,294.25,0.0
18237600.0,299.2436594651981,299.5719181382051,299.43404235735335,299.77697484827127,299.1555617241179,294.25,0.0
18241200.0,299.2131703941467,299.60871759490385,299.43093575484676,299.7486193802113,299.1645095267081,293.75,0.7
18244800.0,299.1490751018073,299.5572034548453,299.38086670936354,299.695735637816,299.1587636946829,292.04999999999995,6.854347826086957
18248400.0,299.21618336486057,299.58740617415623,299.45999151032254,299.711275948112,299.1756196901039,294.84999999999997,89.03153003650847
18252000.0,297.87511353925316,298.15597967469284,298.15085877435433,298.2553766009596,297.5312791603002,297.04999999999995,276.28384044726374
18255600.0,297.84679917339014,298.13254221709553,298.44691205837563,298.19166347836705,297.47188523274656,297.54999999999995,466.84579893152016
18259200.0,298.5051466477058,298.85394986409756,299.3113112827718,298.80578005976133,298.12653158885456,299.84999999999997,643.6010412001791
18262800.0,298.82231580424445,299.29344987167855,299.6845622392755,299.08771789385565,298.3918298401263,301.45,778.8394634562518
18266400.0,299.02152396548115,299.6382653107721,299.80178199901076,299.2570333653349,298.53460737031935,302.54999999999995,862.715878928636
18270000.0,299.195854475523,299.95357317730986,299.8159108072193,299.4043538902012,298.6530306066621,303.75,889.7460031036848
18273600.0,299.2908501606256,300.11206930625605,299.8031216072165,299.57489144207926,298.681724271065,304.84999999999997,752.6785032554977
18277200.0,299.6333632632704,300.4080667311649,300.05459637368176,300.003364003927,298.9942683589096,304.25,601.5760827742106
18280800.0,299.7796716786196,300.47953412359766,300.1171547089452,300.1893144895559,299.10340379117594,301.45,444.7074420129498
18284400.0,299.8315265259632,300.4527187371574,300.1091716455782,300.2159108269979,299.13467952380336,302.54999999999995,282.496912289506
18288000.0,299.7794773064426,300.3716415011012,300.03893387876,300.1553810456409,299.12119306963143,299.84999999999997,172.7929474043716
18291600.0,299.40826944149,299.96268283169957,299.6349775578899,299.75074245479254,298.73737848058965,299.84999999999997,67.69118394308943
18295200.0,298.9079863868634,299.4397658976362,299.1169478778843,299.2159937921369,298.2633736020387,298.75,4.4390243902438975
18298800.0,300.3146669631234,300.827844153564,300.6778824365907,300.6201286455875,299.9356719097354,298.15,0.0
18302400.0,300.23150003751385,300.78926267941324,300.6458882152306,300.5741241666991,299.9464004547828,297.04999999999995,0.0
18306000.0,300.15422457101766,300.7305517530618,300.59345011983777,300.5145844859037,299.9370908976172,296.15,0.0
18309600.0,300.0697469282126,300.66286634335484,300.5312350584705,300.44720415959995,299.91971522741363,295.34999999999997,0.0
